id_cliente_principal,id_cliente_vinculado,id_cliente_desativacao,id_profiz_app_usuario_perfil,id_profiz_app_usuario_sub_conta_convite,ativo,data_aceite,data_desativacao,data_atualizacao
26583,26610,0,1,30,s,"2023-10-17 19:54:35",NULL,"2023-10-17 19:54:35"
26645,26708,26645,2,31,n,"2023-10-19 13:22:41","2023-10-25 18:02:32","2023-10-25 18:02:32"
26645,26784,0,2,36,s,"2023-10-19 13:31:03",NULL,"2023-10-19 13:31:03"
26645,27064,0,2,49,s,"2023-10-25 18:03:00",NULL,"2023-10-25 18:03:00"
26645,30783,0,2,154,s,"2023-12-18 18:29:24",NULL,"2023-12-18 18:29:24"
26681,27763,0,1,72,s,"2023-11-09 22:46:37",NULL,"2023-11-09 22:46:37"
26720,26795,0,1,37,s,"2023-10-19 15:18:18",NULL,"2023-10-19 15:18:18"
26720,27203,0,2,55,s,"2023-10-31 16:32:46",NULL,"2023-10-31 16:32:46"
26727,28092,0,2,93,s,"2023-11-16 10:40:21",NULL,"2023-11-16 10:40:21"
26727,28096,0,1,94,s,"2023-11-16 11:05:41",NULL,"2023-11-16 11:05:41"
26973,27062,0,1,47,s,"2023-10-25 17:36:24",NULL,"2023-10-25 17:36:24"
27091,29097,0,1,113,s,"2023-11-30 07:33:01",NULL,"2023-11-30 07:33:01"
27126,27326,0,1,63,s,"2023-11-03 18:46:56",NULL,"2023-11-03 18:46:56"
27427,28069,0,1,92,s,"2023-11-16 05:35:27",NULL,"2023-11-16 05:35:27"
27537,30100,0,2,138,s,"2023-12-10 16:38:55",NULL,"2023-12-10 16:38:55"
27537,30641,0,2,153,s,"2023-12-16 14:57:00",NULL,"2023-12-16 14:57:00"
27661,27937,27661,1,78,n,"2023-11-13 17:59:23","2023-11-13 19:11:13","2023-11-13 19:11:13"
27665,27669,0,1,70,s,"2023-11-09 10:17:15",NULL,"2023-11-09 10:17:15"
27701,28393,0,1,101,s,"2023-11-21 17:15:23",NULL,"2023-11-21 17:15:23"
27733,27981,0,1,83,s,"2023-11-14 10:24:40",NULL,"2023-11-14 10:24:40"
27733,27986,0,2,85,s,"2023-11-14 11:17:42",NULL,"2023-11-14 11:17:42"
27733,27992,0,2,86,s,"2023-11-14 13:52:52",NULL,"2023-11-14 13:52:52"
27765,27828,0,1,77,s,"2023-11-10 21:55:33",NULL,"2023-11-10 21:55:33"
27824,29478,0,1,124,s,"2023-12-04 18:08:48",NULL,"2023-12-04 18:08:48"
28265,28756,0,1,104,s,"2023-11-24 16:41:57",NULL,"2023-11-24 16:41:57"
28711,29000,0,1,112,s,"2023-11-28 19:47:34",NULL,"2023-11-28 19:47:34"
28867,29120,0,1,114,s,"2023-11-30 10:25:23",NULL,"2023-11-30 10:25:23"
28867,31301,0,2,177,s,"2023-12-28 16:44:32",NULL,"2023-12-28 16:44:32"
28867,31304,0,2,179,s,"2023-12-28 17:00:02",NULL,"2023-12-28 17:00:02"
28867,31307,0,2,183,s,"2023-12-28 17:09:09",NULL,"2023-12-28 17:09:09"
28867,31308,0,2,184,s,"2023-12-28 17:20:21",NULL,"2023-12-28 17:20:21"
28972,31561,0,1,191,s,"2024-01-05 12:40:12",NULL,"2024-01-05 12:40:12"
28972,31562,0,2,192,s,"2024-01-05 12:46:34",NULL,"2024-01-05 12:46:34"
28972,31563,0,2,193,s,"2024-01-05 12:46:45",NULL,"2024-01-05 12:46:45"
28972,31667,0,2,195,s,"2024-01-09 11:37:59",NULL,"2024-01-09 11:37:59"
29134,10009,0,2,123,s,"2023-12-05 01:17:08",NULL,"2023-12-05 01:17:08"
29586,29945,0,1,133,s,"2023-12-08 09:09:41",NULL,"2023-12-08 09:09:41"
29586,29948,0,2,134,s,"2023-12-08 09:18:53",NULL,"2023-12-08 09:18:53"
29586,29953,0,2,136,s,"2023-12-08 10:07:39",NULL,"2023-12-08 10:07:39"
29589,30244,0,1,147,s,"2023-12-12 09:55:03",NULL,"2023-12-12 09:55:03"
30042,30323,0,1,150,s,"2023-12-13 08:45:05",NULL,"2023-12-13 08:45:05"
30169,31448,0,1,186,s,"2024-01-02 14:05:12",NULL,"2024-01-02 14:05:12"
30436,10009,0,1,155,s,"2023-12-19 15:54:58",NULL,"2023-12-19 15:54:58"
30436,10488,0,2,188,s,"2024-01-10 18:11:11",NULL,"2024-01-10 18:11:11"
30436,27416,0,2,156,s,"2023-12-19 17:07:57",NULL,"2023-12-19 17:07:57"
30436,31483,0,2,200,s,"2024-01-10 16:18:21",NULL,"2024-01-10 16:18:21"
31083,31224,0,1,175,s,"2023-12-27 12:47:29",NULL,"2023-12-27 12:47:29"
